Dispatch_Date,AGGRAVATED ASSAULT,MISC,MOTOR VEHICLE THEFT,BURGLARY,ARSON,ROBBERY,RAPE,DRUG OFFENSE,MURDER AND NON-NEGLIGENT MANSLAUGHTER
2006-09-28,123,315,155,39,2,29,3,49,0
2006-09-29,108,277,146,29,4,27,2,62,1
2006-09-30,97,284,148,32,0,29,2,41,2
2006-10-01,139,324,116,28,2,28,2,42,1
2006-10-02,92,278,156,43,3,31,0,40,4
2006-10-03,123,264,134,34,3,31,2,73,5
2006-10-04,113,308,127,43,0,44,1,52,2
2006-10-05,98,313,153,24,3,26,3,43,3
2006-10-06,107,217,136,30,2,30,4,48,1
2006-10-07,90,253,139,35,1,47,0,44,2
2006-10-08,104,324,132,26,2,33,4,33,0
2006-10-09,89,320,159,28,2,36,5,48,0
2006-10-10,108,314,153,35,5,24,4,54,0
2006-10-11,100,284,138,37,1,29,0,52,1
2006-10-12,120,310,149,35,1,36,4,61,2
2006-10-13,122,229,142,14,0,40,2,45,0
2006-10-14,80,230,168,32,2,32,2,35,1
2006-10-15,92,254,134,33,1,36,2,54,1
2006-10-16,105,266,137,43,6,36,2,51,1
2006-10-17,114,287,160,22,4,37,4,52,1
2006-10-18,116,339,145,34,2,27,9,56,2
2006-10-19,102,314,175,27,2,36,6,52,0
2006-10-20,114,215,154,28,1,33,1,45,2
2006-10-21,90,305,145,26,4,37,1,63,1
2006-10-22,119,356,120,25,4,39,3,29,3
2006-10-23,104,267,173,46,3,49,0,49,0
2006-10-24,96,324,153,31,4,36,2,47,0
2006-10-25,105,329,136,38,2,39,1,63,0
2006-10-26,96,343,157,25,3,28,5,60,1
2006-10-27,71,261,137,28,2,38,3,43,0
2006-10-28,97,222,168,30,1,30,3,53,2
2006-10-29,117,290,152,32,1,40,3,45,1
2006-10-30,111,418,158,48,0,40,4,43,2
2006-10-31,149,342,136,37,4,27,3,50,2
2006-11-01,129,326,127,42,1,37,5,77,0
2006-11-02,110,293,169,34,3,29,1,52,2
2006-11-03,99,233,124,25,1,33,1,56,0
2006-11-04,94,278,117,25,1,26,2,47,1
2006-11-05,67,288,108,19,1,34,1,53,1
2006-11-06,108,308,157,43,3,40,5,36,0
2006-11-07,103,357,139,20,2,42,4,47,1
2006-11-08,86,270,132,34,3,29,3,38,1
2006-11-09,95,307,148,30,0,26,1,50,3
2006-11-10,109,267,136,26,2,38,3,49,1
2006-11-11,99,292,128,22,2,39,1,63,4
2006-11-12,85,340,143,20,6,50,3,37,0
2006-11-13,73,244,145,35,1,30,3,41,1
2006-11-14,100,290,143,35,4,40,2,59,2
2006-11-15,134,329,134,40,3,37,2,72,0
2006-11-16,105,307,166,27,2,40,1,55,1
2006-11-17,116,278,149,38,0,35,3,52,0
2006-11-18,68,298,147,25,4,31,3,61,4
2006-11-19,103,251,120,26,1,40,2,46,1
2006-11-20,104,271,133,38,2,39,2,52,1
2006-11-21,101,239,121,23,2,27,4,59,0
2006-11-22,85,232,129,35,0,32,0,48,0
2006-11-23,84,130,87,22,0,17,4,26,0
2006-11-24,82,252,142,36,1,37,1,62,2
2006-11-25,91,305,140,28,0,37,1,56,1
2006-11-26,111,346,126,33,2,47,2,43,1
2006-11-27,90,288,147,51,2,37,4,47,0
2006-11-28,100,274,157,39,2,36,1,58,0
2006-11-29,100,315,134,38,1,35,2,57,1
2006-11-30,117,294,143,40,1,34,3,77,0
2006-12-01,111,260,149,31,0,29,7,57,0
2006-12-02,95,269,149,25,1,34,8,69,2
2006-12-03,86,343,135,25,1,33,5,65,1
2006-12-04,97,219,160,37,0,28,6,50,0
2006-12-05,79,237,129,42,2,39,2,67,2
2006-12-06,110,270,137,31,2,31,2,62,1
2006-12-07,107,256,117,41,1,41,1,72,0
2006-12-08,76,209,114,31,1,40,2,44,2
2006-12-09,77,216,132,18,5,31,1,62,1
2006-12-10,79,249,122,31,1,33,4,54,3
2006-12-11,113,263,134,53,1,39,3,52,0
2006-12-12,118,320,146,39,1,26,6,82,0
2006-12-13,105,289,166,34,3,22,5,68,1
2006-12-14,105,313,115,24,0,30,2,57,2
2006-12-15,117,253,156,26,1,31,2,76,0
2006-12-16,98,317,114,27,4,33,0,65,0
2006-12-17,94,260,109,31,0,31,3,43,2
2006-12-18,126,281,158,44,1,36,5,37,1
2006-12-19,109,271,134,30,3,21,4,62,0
2006-12-20,109,283,148,33,4,38,3,57,0
2006-12-21,93,256,147,17,1,23,2,45,0
2006-12-22,73,191,149,31,3,39,0,38,0
2006-12-23,70,219,130,23,1,29,2,33,2
2006-12-24,65,208,105,38,1,23,0,34,4
2006-12-25,45,92,52,26,2,18,2,9,1
2006-12-26,70,263,152,50,3,33,1,49,1
2006-12-27,108,317,130,34,2,31,5,45,0
2006-12-28,77,342,152,27,2,28,0,67,1
2006-12-29,95,312,107,37,0,28,3,63,1
2006-12-30,99,244,115,24,2,32,2,49,0
2006-12-31,88,217,116,18,2,26,1,34,1
2007-01-01,112,198,96,31,2,38,3,32,0
2007-01-02,82,300,161,40,1,32,3,56,0
2007-01-03,94,285,109,24,3,29,3,59,3
2007-01-04,99,285,133,36,0,32,2,56,2
2007-01-05,109,255,117,40,0,44,3,42,2
2007-01-06,121,262,143,29,2,45,1,34,0
2007-01-07,97,243,112,21,2,30,2,40,2
2007-01-08,72,213,148,50,0,33,1,54,3
2007-01-09,112,268,137,36,2,30,1,64,1
2007-01-10,90,301,144,33,1,29,1,54,2
2007-01-11,90,296,127,40,2,33,2,64,2
2007-01-12,125,256,123,31,0,36,1,57,0
2007-01-13,78,248,126,26,4,42,3,46,4
2007-01-14,103,248,131,32,1,30,3,44,3
2007-01-15,84,274,131,39,1,21,4,70,0
2007-01-16,87,286,154,36,0,35,5,62,0
2007-01-17,84,272,105,25,0,23,5,62,0
2007-01-18,92,214,102,20,1,21,1,63,0
2007-01-19,106,227,144,34,4,37,4,51,0
2007-01-20,87,228,125,33,1,28,3,48,0
2007-01-21,62,255,78,29,0,30,2,49,0
2007-01-22,100,206,127,31,2,30,4,45,1
2007-01-23,107,253,142,42,2,36,4,50,0
2007-01-24,92,316,119,34,2,35,1,58,0
2007-01-25,88,238,120,29,0,29,1,55,1
2007-01-26,95,202,118,32,1,19,2,56,0
2007-01-27,67,218,93,29,3,34,2,50,1
2007-01-28,79,244,115,25,3,31,0,51,0
2007-01-29,72,231,118,38,3,18,4,42,1
