Day,AGGRAVATED ASSAULT,MISC,MOTOR VEHICLE THEFT,BURGLARY,ARSON,ROBBERY,RAPE,DRUG OFFENSE,MURDER AND NON-NEGLIGENT MANSLAUGHTER
04-14,95.27272727272727,259.6363636363636,103.27272727272727,26.454545454545453,1.9090909090909092,19.454545454545453,3.3636363636363638,54.63636363636363,0.8181818181818182
04-15,100.81818181818181,250.0,112.45454545454545,25.454545454545453,1.4545454545454546,23.0,2.5454545454545454,52.81818181818182,0.9090909090909091
04-16,100.72727272727273,244.8181818181818,109.45454545454545,24.818181818181817,1.4545454545454546,19.272727272727273,3.727272727272727,51.81818181818182,0.7272727272727273
04-17,102.45454545454545,257.72727272727275,115.27272727272727,24.363636363636363,0.8181818181818182,22.363636363636363,2.6363636363636362,55.18181818181818,0.5454545454545454
04-18,100.36363636363636,272.09090909090907,117.81818181818181,26.09090909090909,1.5454545454545454,20.454545454545453,2.1818181818181817,55.81818181818182,0.45454545454545453
04-19,106.9090909090909,266.90909090909093,121.36363636363636,27.90909090909091,1.4545454545454546,22.272727272727273,2.6363636363636362,51.45454545454545,0.45454545454545453
04-20,99.0909090909091,245.8181818181818,108.63636363636364,24.818181818181817,1.8181818181818181,22.545454545454547,3.6363636363636362,50.72727272727273,1.0
04-21,101.18181818181819,253.0909090909091,112.36363636363636,26.818181818181817,1.7272727272727273,23.727272727272727,4.363636363636363,54.36363636363637,1.2727272727272727
04-22,98.54545454545455,246.72727272727272,114.9090909090909,27.363636363636363,1.2727272727272727,21.454545454545453,2.727272727272727,47.36363636363637,0.45454545454545453
04-23,101.0,240.72727272727272,116.27272727272727,30.181818181818183,1.8181818181818181,22.454545454545453,3.727272727272727,50.0,1.0909090909090908
04-24,104.81818181818181,243.72727272727272,112.54545454545455,29.727272727272727,1.5454545454545454,21.181818181818183,2.3636363636363638,49.18181818181818,0.9090909090909091
04-25,104.0,252.72727272727272,116.81818181818181,26.181818181818183,1.4545454545454546,20.545454545454547,2.5454545454545454,49.27272727272727,0.6363636363636364
04-26,103.36363636363636,253.45454545454547,114.9090909090909,27.90909090909091,1.5454545454545454,21.09090909090909,3.5454545454545454,51.18181818181818,1.0
04-27,106.63636363636364,246.63636363636363,119.18181818181819,26.636363636363637,1.1818181818181819,23.181818181818183,2.1818181818181817,49.90909090909091,1.0
04-28,105.18181818181819,241.72727272727272,112.18181818181819,28.636363636363637,1.7272727272727273,24.0,2.909090909090909,46.45454545454545,1.0909090909090908
04-29,101.45454545454545,256.90909090909093,118.45454545454545,29.09090909090909,1.6363636363636365,22.90909090909091,3.909090909090909,50.18181818181818,0.5454545454545454
04-30,105.0909090909091,239.27272727272728,113.0909090909091,23.545454545454547,0.7272727272727273,20.727272727272727,2.8181818181818183,47.27272727272727,0.7272727272727273
05-01,101.63636363636364,263.90909090909093,111.18181818181819,23.09090909090909,1.5454545454545454,24.181818181818183,2.1818181818181817,51.45454545454545,0.8181818181818182
05-02,104.45454545454545,258.3636363636364,112.54545454545455,27.545454545454547,1.8181818181818181,20.0,2.6363636363636362,52.09090909090909,0.9090909090909091
05-03,97.36363636363636,262.09090909090907,112.81818181818181,28.181818181818183,1.1818181818181819,22.727272727272727,3.1818181818181817,51.63636363636363,0.9090909090909091
05-04,100.45454545454545,250.8181818181818,119.0909090909091,26.636363636363637,1.2727272727272727,23.181818181818183,2.909090909090909,47.63636363636363,0.5454545454545454
05-05,102.0,254.45454545454547,120.72727272727273,28.545454545454547,1.8181818181818181,23.636363636363637,2.5454545454545454,51.45454545454545,1.0
05-06,103.0,242.9090909090909,117.36363636363636,24.181818181818183,2.0,22.818181818181817,3.909090909090909,52.27272727272727,1.3636363636363635
05-07,103.81818181818181,251.9090909090909,125.0909090909091,30.454545454545453,1.3636363636363635,20.545454545454547,2.909090909090909,54.54545454545455,0.7272727272727273
05-08,100.54545454545455,249.36363636363637,115.81818181818181,26.454545454545453,1.7272727272727273,20.454545454545453,3.0,48.63636363636363,0.7272727272727273
05-09,108.0,249.63636363636363,116.81818181818181,27.545454545454547,1.9090909090909092,24.636363636363637,3.272727272727273,46.54545454545455,0.6363636363636364
05-10,99.0909090909091,254.8181818181818,121.36363636363636,24.818181818181817,1.9090909090909092,23.0,3.4545454545454546,47.36363636363637,1.2727272727272727
05-11,106.18181818181819,244.54545454545453,119.45454545454545,35.18181818181818,1.0,23.454545454545453,3.4545454545454546,47.18181818181818,1.0
05-12,104.18181818181819,249.9090909090909,119.9090909090909,26.181818181818183,1.8181818181818181,24.0,3.3636363636363638,43.18181818181818,0.5454545454545454
05-13,107.54545454545455,249.0909090909091,120.9090909090909,24.727272727272727,2.090909090909091,23.454545454545453,4.090909090909091,45.63636363636363,0.8181818181818182
05-14,102.36363636363636,243.9090909090909,122.36363636363636,30.0,1.6363636363636365,22.0,1.9090909090909092,46.09090909090909,1.2727272727272727
05-15,102.27272727272727,245.63636363636363,117.18181818181819,25.0,1.3636363636363635,22.818181818181817,2.8181818181818183,49.72727272727273,0.9090909090909091
05-16,99.81818181818181,249.27272727272728,118.27272727272727,28.272727272727273,1.1818181818181819,22.363636363636363,2.727272727272727,43.0,0.36363636363636365
05-17,101.0909090909091,250.36363636363637,112.63636363636364,27.454545454545453,0.8181818181818182,23.09090909090909,3.090909090909091,50.36363636363637,0.7272727272727273
05-18,104.18181818181819,251.0909090909091,123.54545454545455,27.90909090909091,1.4545454545454546,25.636363636363637,3.090909090909091,48.18181818181818,0.6363636363636364
05-19,99.0909090909091,242.0909090909091,124.72727272727273,31.90909090909091,1.4545454545454546,25.363636363636363,3.6363636363636362,47.09090909090909,1.1818181818181819
05-20,103.63636363636364,239.27272727272728,123.36363636363636,25.90909090909091,0.8181818181818182,19.181818181818183,3.1818181818181817,48.54545454545455,1.1818181818181819
05-21,103.54545454545455,261.54545454545456,122.27272727272727,29.181818181818183,1.4545454545454546,24.90909090909091,3.5454545454545454,46.54545454545455,0.5454545454545454
05-22,110.81818181818181,254.0,127.36363636363636,28.363636363636363,1.2727272727272727,24.636363636363637,3.3636363636363638,49.54545454545455,0.5454545454545454
05-23,105.27272727272727,253.0,128.27272727272728,29.90909090909091,1.4545454545454546,23.727272727272727,3.0,51.36363636363637,0.8181818181818182
05-24,102.63636363636364,258.27272727272725,117.45454545454545,25.727272727272727,1.3636363636363635,22.818181818181817,2.909090909090909,50.0,0.9090909090909091
05-25,108.36363636363636,257.45454545454544,114.63636363636364,24.727272727272727,1.3636363636363635,24.0,3.1818181818181817,46.18181818181818,0.8181818181818182
05-26,102.63636363636364,265.54545454545456,115.27272727272727,31.636363636363637,2.272727272727273,19.545454545454547,3.3636363636363638,49.09090909090909,0.45454545454545453
05-27,102.0909090909091,259.09090909090907,127.0909090909091,29.727272727272727,1.7272727272727273,21.0,2.3636363636363638,51.45454545454545,0.36363636363636365
05-28,102.45454545454545,255.54545454545453,124.36363636363636,43.81818181818182,1.3636363636363635,21.454545454545453,3.1818181818181817,48.45454545454545,1.2727272727272727
05-29,106.9090909090909,239.0909090909091,121.81818181818181,29.09090909090909,1.1818181818181819,21.545454545454547,3.4545454545454546,48.0,0.5454545454545454
05-30,103.54545454545455,252.1818181818182,120.9090909090909,30.0,1.8181818181818181,23.0,2.4545454545454546,50.54545454545455,1.0
05-31,110.63636363636364,257.3636363636364,120.0,27.636363636363637,1.2727272727272727,22.272727272727273,4.0,44.72727272727273,1.6363636363636365
06-01,104.18181818181819,244.45454545454547,117.0,30.181818181818183,1.7272727272727273,25.818181818181817,4.090909090909091,46.09090909090909,1.1818181818181819
06-02,108.0,240.45454545454547,124.0,26.636363636363637,1.9090909090909092,23.0,3.1818181818181817,47.90909090909091,0.45454545454545453
