Occurred Date,AGGRAVATED ASSAULT,DRUG OFFENSE,MURDER AND NON-NEGLIGENT MANSLAUGHTER,RAPE,MISC,BURGLARY,LARCENY-THEFT,MOTOR VEHICLE THEFT,ARSON
2016-01-05,5,2,0,2,60,26,38,14,0
2016-01-06,5,8,0,3,54,19,27,16,1
2016-01-07,6,3,0,2,61,22,33,20,0
2016-01-08,9,3,0,0,49,28,40,10,0
2016-01-09,11,2,0,2,62,20,37,7,0
2016-01-10,5,3,1,2,54,20,19,8,0
2016-01-11,12,4,0,1,58,14,36,10,0
2016-01-12,3,0,0,2,47,19,40,9,0
2016-01-13,3,4,0,4,60,32,32,11,0
2016-01-14,10,5,0,0,63,19,44,10,0
2016-01-15,4,7,0,3,46,31,43,7,0
2016-01-16,7,4,0,2,49,25,35,15,0
2016-01-17,2,3,0,2,48,15,30,8,1
2016-01-18,1,2,0,2,66,25,35,17,0
2016-01-19,2,2,0,2,78,26,51,15,0
2016-01-20,4,1,0,1,79,29,54,17,1
2016-01-21,3,4,0,2,56,32,40,17,0
2016-01-22,9,5,0,2,53,25,39,9,0
2016-01-23,5,1,0,1,60,15,32,13,0
2016-01-24,6,2,0,2,61,21,36,13,0
2016-01-25,7,1,1,0,54,22,39,7,1
2016-01-26,7,2,1,2,53,27,42,8,0
2016-01-27,8,6,0,0,67,35,40,13,0
2016-01-28,1,3,0,5,66,28,47,19,1
2016-01-29,3,4,0,3,63,23,38,16,0
2016-01-30,4,2,0,1,46,18,43,10,1
2016-01-31,7,1,0,2,69,16,32,13,1
2016-02-01,5,5,0,4,55,32,35,6,0
2016-02-02,4,7,1,1,46,26,39,13,0
2016-02-03,5,3,0,6,58,28,34,10,0
2016-02-04,9,6,0,3,65,23,37,10,0
2016-02-05,6,3,0,3,65,41,40,13,0
2016-02-06,7,3,0,2,51,20,31,14,0
2016-02-07,8,0,0,3,63,12,25,12,0
2016-02-08,1,3,0,1,61,18,18,10,0
2016-02-09,7,6,0,2,58,17,32,15,2
2016-02-10,5,3,0,2,48,22,34,14,2
2016-02-11,4,3,0,0,71,30,40,11,1
2016-02-12,7,4,0,3,54,18,32,28,0
2016-02-13,6,5,0,2,64,20,30,13,0
2016-02-14,5,5,0,2,66,13,25,16,0
2016-02-15,6,2,0,1,60,16,30,8,0
2016-02-16,4,10,0,2,79,21,37,17,0
2016-02-17,9,6,0,1,49,13,40,10,0
2016-02-18,6,2,0,2,57,21,43,17,0
2016-02-19,4,7,0,1,71,18,45,11,0
2016-02-20,7,1,0,0,58,26,34,14,1
2016-02-21,9,2,0,1,56,16,36,7,1
2016-02-22,6,5,0,2,50,24,42,8,1
2016-02-23,3,4,0,0,58,24,34,13,0
2016-02-24,6,2,1,2,62,16,41,6,0
2016-02-25,3,2,0,1,64,29,47,13,0
2016-02-26,7,2,0,1,61,28,42,10,0
2016-02-27,6,4,0,0,54,24,39,9,0
2016-02-28,5,4,0,3,52,19,28,11,0
2016-02-29,4,0,1,1,45,27,36,6,0
2016-03-01,7,1,0,4,61,21,36,16,0
2016-03-02,5,4,0,1,51,20,40,15,0
2016-03-03,2,4,0,4,61,28,33,10,0
2016-03-04,2,6,0,5,49,23,33,13,0
2016-03-05,7,1,0,5,46,18,32,12,0
2016-03-06,8,2,0,2,39,17,34,14,0
2016-03-07,4,6,0,7,36,17,29,6,0
2016-03-08,3,5,0,1,37,22,36,7,0
2016-03-09,9,1,0,4,52,19,38,13,0
