date,Offense Count,MISC,ARSON,AGGRAVATED ASSAULT,FRAUD,BURGLARY,DRUG OFFENSE,MURDER AND NON-NEGLIGENT MANSLAUGHTER,THEFT,MOTOR VEHICLE THEFT,RAPE
12/16/2016,145,9,0,17,11,8,2,0,57,13,5
12/16/2017,173,18,0,12,11,12,6,0,57,19,4
12/17/2015,140,16,0,14,11,6,6,0,52,14,0
12/17/2016,145,11,0,16,18,5,4,0,53,16,3
12/17/2017,175,32,0,21,9,12,4,0,52,16,2
12/18/2015,187,18,0,21,20,12,6,0,64,14,3
12/18/2016,156,9,0,17,11,12,3,0,53,25,0
12/18/2017,199,18,1,21,9,7,8,0,74,23,4
12/19/2015,161,19,0,23,14,6,3,1,60,9,5
12/19/2016,165,11,0,12,15,10,4,0,55,17,1
12/19/2017,153,9,0,14,10,13,8,0,62,18,0
12/2/2015,165,12,0,14,20,9,1,0,66,16,1
12/2/2016,180,11,6,16,12,14,4,0,67,16,1
12/2/2017,177,25,0,21,10,6,4,1,68,15,1
12/20/2015,129,9,2,26,9,9,1,0,53,12,0
12/20/2016,185,19,0,19,11,13,1,0,63,20,2
12/20/2017,172,13,1,21,11,14,6,0,69,17,1
12/21/2015,162,22,0,13,10,16,2,0,66,13,1
12/21/2016,165,18,0,17,14,10,2,0,62,16,2
12/21/2017,162,15,1,20,10,7,7,0,61,24,0
12/22/2015,152,14,0,16,15,7,5,0,52,11,2
12/22/2016,193,16,1,16,18,19,5,0,57,25,1
12/22/2017,177,20,2,11,9,12,3,0,68,12,1
12/23/2015,148,13,0,17,12,9,3,0,62,13,1
12/23/2016,204,21,1,20,10,13,4,0,72,25,2
12/23/2017,169,13,0,19,9,11,1,0,69,18,0
12/24/2015,152,17,1,12,10,10,3,0,59,12,1
12/24/2016,168,23,0,18,4,14,1,0,63,17,1
12/24/2017,133,11,0,21,7,11,1,0,44,24,0
12/25/2015,107,16,0,14,2,10,4,0,34,14,3
12/25/2016,121,10,0,19,6,17,1,0,35,14,3
12/25/2017,109,10,0,20,5,5,0,0,41,14,1
12/26/2015,136,19,1,17,5,8,4,0,55,10,1
12/26/2016,158,14,0,11,15,16,3,0,51,22,3
12/26/2017,126,18,1,14,7,8,1,0,50,8,1
12/27/2015,145,16,0,19,12,11,8,0,43,14,1
12/27/2016,167,15,0,20,16,13,4,0,47,18,1
12/27/2017,141,13,1,13,17,8,5,0,49,13,0
12/28/2015,134,15,0,15,11,4,2,0,55,15,0
12/28/2016,144,16,0,11,13,12,3,0,56,10,1
12/28/2017,165,16,0,19,15,17,2,1,56,13,4
12/29/2015,136,7,0,13,12,10,6,0,59,14,1
12/29/2016,192,16,0,17,15,15,5,0,68,22,0
12/29/2017,183,21,0,30,25,7,2,0,48,18,2
12/3/2015,163,18,0,12,12,5,5,0,64,14,3
12/3/2016,173,14,0,19,7,17,4,0,62,17,1
12/3/2017,151,23,0,11,8,6,3,0,53,18,0
12/30/2015,165,17,2,13,12,13,10,0,59,17,1
12/30/2016,175,14,0,18,14,14,7,0,69,16,0
12/30/2017,144,14,0,24,8,10,6,0,53,13,0
12/31/2015,144,10,0,15,17,12,5,0,51,11,2
12/31/2016,148,20,2,17,10,15,3,0,46,14,2
12/31/2017,145,16,0,18,7,15,5,0,40,24,2
12/4/2015,209,20,1,24,16,11,13,0,70,16,1
12/4/2016,175,30,2,20,7,11,5,0,56,19,3
12/4/2017,181,27,1,26,17,15,4,0,53,19,0
12/5/2015,166,17,2,24,8,12,4,0,53,15,2
12/5/2016,165,8,0,12,11,12,2,0,72,9,1
12/5/2017,188,15,0,25,16,9,3,0,68,21,2
12/6/2015,160,15,0,18,14,8,4,0,50,24,1
12/6/2016,140,8,0,11,14,6,1,0,61,10,1
12/6/2017,172,20,0,19,16,6,8,0,66,10,0
12/7/2015,140,14,0,14,12,7,1,0,59,13,1
12/7/2016,193,11,2,20,13,13,8,0,65,17,2
12/7/2017,209,17,0,20,18,11,4,0,81,22,3
12/8/2015,162,16,0,17,10,17,3,0,61,15,1
12/8/2016,122,13,0,10,11,13,2,0,40,15,1
12/8/2017,169,11,1,14,15,5,1,0,63,19,0
12/9/2015,146,17,1,12,16,9,8,0,42,13,2
12/9/2016,137,32,0,14,10,11,2,0,43,12,1
12/9/2017,172,22,1,21,12,10,0,0,55,22,1
2/1/2015,18,1,0,1,3,0,0,0,5,0,4
2/1/2016,170,16,1,15,20,8,8,0,55,18,2
2/1/2017,187,19,0,17,12,11,9,0,67,19,1
2/1/2018,179,10,2,21,17,5,9,0,64,17,4
2/10/2016,156,17,0,22,12,9,3,0,67,7,2
2/10/2017,186,26,0,16,9,18,2,0,63,25,1
2/10/2018,166,13,1,22,12,12,9,1,57,17,5
2/11/2015,2,0,0,0,1,0,0,0,1,0,0
2/11/2016,159,19,2,16,14,5,4,0,60,13,4
2/11/2017,154,18,0,24,9,8,4,0,44,21,2
2/11/2018,142,18,2,18,8,15,8,0,41,8,0
2/12/2016,126,16,0,13,14,8,4,0,47,6,0
2/12/2017,144,17,1,22,5,10,3,0,55,16,1
2/12/2018,152,16,0,16,12,15,4,0,63,12,0
2/13/2015,2,0,0,1,0,0,0,0,0,0,1
2/13/2016,133,14,0,13,9,5,6,0,56,10,1
2/13/2017,144,10,1,10,4,10,2,0,65,16,1
2/13/2018,155,18,1,11,18,8,6,0,57,15,1
2/14/2015,2,0,0,0,1,0,0,0,0,0,1
2/14/2016,138,15,0,20,12,7,1,0,58,11,0
2/14/2017,168,14,0,17,14,10,2,0,60,18,2
2/14/2018,164,23,1,11,12,13,3,0,58,17,0
2/15/2015,7,1,0,0,3,0,0,0,1,0,0
2/15/2016,159,24,2,18,9,11,4,0,56,10,2
2/15/2017,176,17,1,21,18,7,1,0,55,24,1
2/15/2018,177,26,0,22,17,10,6,0,62,12,4
2/16/2015,1,0,0,0,1,0,0,0,0,0,0
2/16/2016,134,11,0,14,12,5,4,0,56,12,0
2/16/2017,144,11,1,11,11,6,2,0,58,14,1
2/16/2018,175,11,0,22,13,12,6,0,70,17,2
2/17/2016,144,14,0,23,14,6,5,0,54,11,0
2/17/2017,179,13,0,14,18,13,4,0,56,23,0
2/17/2018,151,19,0,24,8,9,3,0,52,15,1
2/18/2015,2,1,0,0,0,0,0,0,1,0,0
2/18/2016,141,9,0,15,8,10,7,0,56,9,1
2/18/2017,184,22,0,17,6,19,3,0,64,19,2
2/18/2018,144,17,0,25,8,10,2,0,43,18,2
2/19/2015,1,0,0,0,0,0,0,0,1,0,0
2/19/2016,167,19,0,11,15,13,7,0,63,14,0
2/19/2017,151,11,1,25,3,10,3,0,60,16,1
2/19/2018,128,11,2,14,7,14,1,0,46,15,4
2/2/2015,4,0,0,0,2,1,0,0,1,0,0
2/2/2016,139,17,0,13,14,6,5,0,49,7,3
2/2/2017,176,19,1,16,15,10,6,0,59,19,1
2/2/2018,176,20,2,19,14,9,3,0,62,19,1
2/20/2015,5,0,0,0,1,0,0,0,2,0,0
2/20/2016,152,26,1,21,6,6,2,0,52,6,4
2/20/2017,159,15,0,17,8,12,6,0,64,17,0
2/20/2018,163,19,0,26,6,9,9,0,58,14,1
2/21/2015,2,0,0,0,1,0,0,0,1,0,0
2/21/2016,171,29,2,22,10,7,7,0,54,12,1
2/21/2017,169,16,0,15,10,7,11,0,64,20,0
2/21/2018,131,8,0,16,14,8,6,0,50,14,0
2/22/2015,5,0,0,0,2,0,0,0,2,0,0
2/22/2016,144,10,0,18,17,4,2,0,60,7,1
2/22/2017,171,17,2,24,10,4,14,0,57,26,1
2/22/2018,156,13,0,22,13,10,4,0,59,21,0
2/23/2015,1,0,0,0,0,0,0,0,1,0,0
2/23/2016,143,25,0,14,15,6,4,0,52,10,2
2/23/2017,187,19,0,23,12,10,9,0,76,21,1
2/23/2018,167,13,1,20,16,7,1,0,63,18,1
2/24/2015,2,0,0,0,1,1,0,0,0,0,0
2/24/2016,135,13,0,14,17,7,4,0,53,6,1
2/24/2017,152,17,1,10,8,10,12,0,58,15,2
2/24/2018,166,19,0,18,11,11,3,0,64,18,2
2/25/2015,3,0,0,0,2,0,0,0,0,1,0
2/25/2016,151,23,0,13,17,10,2,1,54,12,3
2/25/2017,154,16,1,22,7,7,3,0,59,15,2
2/25/2018,149,22,0,19,8,11,4,0,48,17,2
2/26/2015,8,0,0,0,5,1,0,0,0,0,0
