Date,BURGLARY_Austin,BURGLARY_Chicago,BURGLARY_LA,BURGLARY_Cities,THEFT_Austin,THEFT_Chicago,THEFT_LA,THEFT_Cities,AGGRASSAULT_Austin,AGGRASSAULT_Chicago,AGGRASSAULT_LA,AGGRASSAULT_Cities, RAPE_Austin,RAPE_Chicago,RAPE_LA,RAPE_Cities,MURDER_Austin,MURDER_Chicago,MURDER_LA,MURDER_Cities,MISC_Austin,MISC_Chicago,,,DRUG_Austin,DRUG_Chicago,,,FRAUD_Austin,FRAUD_Chicago
7/4/2016,16,67,88,171,76,83,77,236,7,203,176,386,1,9,14,24,0,1,1,2,0,203,,,0,37,,,0,15
7/5/2016,13,65,75,153,90,86,94,270,6,217,153,376,4,9,5,18,0,5,1,6,0,193,,,0,48,,,2,34
7/6/2016,23,60,90,173,87,92,78,257,7,160,144,311,3,6,5,14,0,2,0,2,0,179,,,0,31,,,0,32
7/7/2016,16,60,89,165,75,113,73,261,5,146,106,257,1,7,4,12,0,0,0,0,1,170,,,0,44,,,0,35
7/8/2016,16,68,103,187,101,114,92,307,6,158,123,287,2,9,9,20,0,1,1,2,0,170,,,0,33,,,0,30
7/9/2016,14,59,76,149,57,99,70,226,6,175,123,304,3,3,11,17,0,1,0,1,0,149,,,0,28,,,0,28
7/10/2016,7,68,82,157,63,89,72,224,3,170,170,343,2,9,10,21,0,2,1,3,0,174,,,0,21,,,0,33
7/11/2016,20,62,91,173,83,88,79,250,10,156,96,262,2,6,6,14,0,2,1,3,0,176,,,0,30,,,0,29
7/12/2016,19,55,84,158,80,94,82,256,5,153,88,246,1,8,7,16,0,2,2,4,2,178,,,0,36,,,0,43
7/13/2016,8,70,105,183,78,84,82,244,6,136,100,242,2,11,4,17,0,2,0,2,1,147,,,0,43,,,1,38
7/14/2016,23,59,91,173,85,101,85,271,6,127,107,240,1,10,4,15,0,3,0,3,1,187,,,0,45,,,0,32
7/15/2016,11,66,79,156,67,112,110,289,4,157,121,282,1,7,3,11,0,1,1,2,6,173,,,0,44,,,0,35
7/16/2016,16,57,83,156,55,86,96,237,3,167,138,308,0,5,6,11,1,1,0,2,1,182,,,0,27,,,0,26
7/17/2016,11,75,86,172,73,66,80,219,7,180,136,323,2,10,11,23,0,4,1,5,1,220,,,0,30,,,0,26
7/18/2016,14,70,81,165,105,96,92,293,6,148,139,293,1,7,3,11,2,2,0,4,1,188,,,0,37,,,0,33
