date,LARCENY-THEFT,AGGRAVATED ASSAULT,BURGLARY,MOTOR VEHICLE THEFT,FRAUD,DRUG OFFENSE,ARSON,MURDER AND NON-NEGLIGENT MANSLAUGHTER,MISC
3/31/2016,27,2,5,1,9,10,0,0,0
4/1/2016,32,11,5,2,5,10,0,0,0
4/2/2016,37,8,4,6,1,6,0,0,0
4/3/2016,38,8,5,4,1,8,1,0,0
4/4/2016,40,8,8,1,9,9,0,1,0
4/5/2016,29,6,9,2,5,14,0,0,0
4/6/2016,22,11,7,0,6,15,0,0,0
4/7/2016,22,6,5,0,9,6,0,0,0
4/8/2016,35,6,4,3,5,8,0,0,0
4/9/2016,43,9,3,4,0,14,0,0,0
4/10/2016,25,5,6,2,2,4,0,0,0
4/11/2016,30,4,7,2,4,16,0,0,0
4/12/2016,22,7,4,3,4,10,0,0,0
4/13/2016,34,4,7,2,6,5,0,0,0
4/14/2016,39,6,3,2,5,9,0,0,0
4/15/2016,39,10,3,1,10,8,0,0,0
4/16/2016,33,11,11,1,2,6,0,1,0
4/17/2016,31,11,5,3,0,3,0,0,0
4/18/2016,29,3,7,2,6,10,0,0,0
4/19/2016,30,4,9,3,3,12,0,0,0
4/20/2016,22,5,6,2,7,16,0,0,0
4/21/2016,26,8,9,1,5,4,0,0,0
4/22/2016,32,10,9,2,3,6,0,0,1
4/23/2016,33,6,6,0,2,10,0,0,0
4/24/2016,30,6,9,5,4,8,0,0,0
4/25/2016,28,10,15,4,5,3,0,0,0
4/26/2016,35,9,9,6,5,6,0,0,0
4/27/2016,41,8,12,2,7,8,0,0,0
4/28/2016,40,6,9,3,11,7,0,0,0
4/29/2016,27,9,4,4,5,15,0,0,0
4/30/2016,26,8,4,3,5,6,0,0,0
5/1/2016,33,8,6,1,3,2,0,0,0
5/2/2016,34,3,13,1,8,1,0,0,0
5/3/2016,28,3,10,1,3,10,0,0,0
5/4/2016,40,9,8,0,8,6,0,0,0
5/5/2016,28,4,8,8,5,4,0,0,0
5/6/2016,35,12,10,3,5,9,0,0,0
