date,Count,AGGRIVATED ASSAULT,BURGLARY,RAPE,THEFT,FRAUD,MISC,MOTOR VEHICLE THEFT,MURDER AND NON-NEGLIGENT MANSLAUGHTER,ATTEMPT,ARSON,DRUG OFFENSE,OBSCENITY,CONCEALED CARRY LICENSE VIOLATION
4/23/2017,703,179,62,5,83,25,146,21,4,1,2,31,0,0
4/23/2018,715,162,47,7,97,32,162,24,2,2,0,24,0,0
4/24/2016,753,184,45,8,87,20,152,16,3,4,3,56,0,0
4/24/2017,735,164,55,10,95,31,156,22,3,5,1,21,0,1
4/24/2018,711,150,48,6,116,29,155,22,4,4,0,26,0,0
4/25/2016,757,177,54,10,85,24,141,19,2,2,1,41,0,0
4/25/2017,756,161,54,6,99,34,163,28,1,4,2,31,1,0
4/25/2018,749,161,55,6,120,35,154,25,3,8,0,38,0,0
4/26/2016,691,140,60,5,86,30,143,22,2,5,2,48,0,0
4/26/2017,758,181,58,5,92,26,150,17,0,5,1,43,1,0
4/26/2018,726,146,42,5,117,51,150,13,2,6,0,29,0,0
4/27/2016,658,150,67,5,83,25,133,19,0,4,0,43,1,0
4/27/2017,715,150,43,4,97,31,148,23,1,4,1,37,1,0
4/27/2018,763,163,49,10,113,34,154,21,2,7,1,47,1,0
4/28/2016,731,148,59,8,93,33,147,18,0,5,2,45,0,0
4/28/2017,832,177,63,7,96,41,177,30,4,12,0,47,1,0
4/28/2018,676,151,49,5,112,33,125,20,0,5,1,36,0,0
4/29/2016,715,161,54,7,86,28,126,19,0,4,1,54,0,0
4/29/2017,614,119,47,5,80,32,123,29,1,2,0,27,0,0
4/29/2018,723,178,51,11,90,25,154,19,1,5,1,41,0,1
4/30/2016,603,139,45,5,88,29,109,17,2,2,1,34,0,1
4/30/2017,656,149,51,7,73,26,148,27,0,1,2,32,0,0
4/30/2018,781,169,49,12,107,37,175,23,1,3,2,27,0,0
5/1/2016,802,158,59,13,80,37,131,28,0,4,1,26,0,0
5/1/2017,834,158,61,16,92,41,134,19,1,2,1,28,1,1
5/1/2018,953,209,52,13,112,46,176,22,1,6,0,29,1,0
5/2/2016,755,149,59,4,90,33,132,23,5,6,1,44,1,0
5/2/2017,689,152,45,6,93,43,148,24,0,3,1,33,0,0
5/2/2018,780,175,46,10,105,41,143,18,3,6,1,37,0,0
5/3/2016,734,151,62,9,72,32,155,21,2,4,0,45,0,0
5/3/2017,739,154,66,10,90,27,148,19,0,3,0,37,1,0
5/3/2018,738,177,40,8,105,40,147,21,2,2,1,33,0,0
5/4/2016,678,146,54,7,75,27,158,18,3,3,1,49,0,0
5/4/2017,741,150,61,5,99,37,140,14,0,2,2,45,0,0
5/4/2018,808,204,44,13,95,37,152,21,1,9,1,48,0,0
5/5/2016,696,142,53,6,98,29,137,21,0,3,0,50,0,0
5/5/2017,794,170,55,13,97,40,169,22,1,5,1,44,1,0
5/5/2018,845,214,50,7,116,31,150,20,0,4,1,35,0,0
5/6/2016,794,169,57,8,95,37,147,26,2,0,1,40,0,0
5/6/2017,709,161,48,4,103,31,139,26,0,0,1,31,0,0
5/6/2018,707,185,38,11,84,21,147,23,4,3,0,22,0,0
