date,AGGRAVATED ASSAULT,DRUG OFFENSE,MURDER AND NON-NEGLIGENT MANSLAUGHTER,RAPE,MISC,BURGLARY,LARCENY-THEFT,MOTOR VEHICLE THEFT,ARSON
4/10/2016,1,0,0,2,29,28,38,9,1
4/11/2016,6,2,0,2,46,20,30,11,0
4/12/2016,6,0,0,1,51,24,44,10,0
4/13/2016,4,5,0,0,50,21,37,8,0
4/14/2016,5,2,0,3,49,24,36,11,0
4/15/2016,6,4,0,7,59,22,50,7,0
4/16/2016,3,3,0,2,53,22,34,11,0
4/17/2016,3,2,0,1,46,23,37,12,0
4/18/2016,6,0,0,3,74,22,35,11,0
4/19/2016,5,4,0,1,44,20,31,10,0
4/20/2016,5,4,0,5,55,23,35,10,0
4/21/2016,8,1,0,2,55,18,37,13,0
4/22/2016,7,1,0,5,53,29,38,15,0
4/23/2016,8,1,0,4,56,25,39,8,0
4/24/2016,6,6,0,2,61,13,32,13,0
4/25/2016,5,2,0,2,42,31,27,7,1
4/26/2016,5,5,0,1,62,21,27,10,0
4/27/2016,5,2,0,6,54,10,35,9,0
4/28/2016,2,4,0,0,47,20,27,13,0
4/29/2016,5,1,0,4,59,19,54,4,0
4/30/2016,10,3,0,1,48,31,45,7,1
5/1/2016,9,1,0,8,48,15,32,21,2
5/2/2016,8,3,1,3,47,20,38,12,0
5/3/2016,4,5,0,1,47,17,41,16,0
5/4/2016,4,7,0,2,48,25,44,9,0
5/5/2016,5,1,0,2,44,22,41,9,0
5/6/2016,3,8,0,5,65,22,38,10,0
5/7/2016,6,2,0,1,49,19,46,13,0
5/8/2016,10,4,0,4,46,17,35,9,0
5/9/2016,6,3,0,3,49,20,43,7,0
5/10/2016,6,0,0,2,62,33,36,11,1
5/11/2016,3,3,0,1,51,20,32,6,1
5/12/2016,3,4,0,2,44,23,33,11,1
5/13/2016,8,3,0,6,40,25,40,9,1
5/14/2016,7,1,0,3,52,22,47,14,0
5/15/2016,7,1,0,1,58,17,37,12,1
5/16/2016,8,3,0,2,55,22,34,11,0
5/17/2016,5,4,0,1,47,24,44,4,1
5/18/2016,8,3,0,3,68,36,38,9,0
5/19/2016,3,4,0,1,52,23,39,7,0
5/20/2016,12,2,0,4,67,26,36,11,0
5/21/2016,9,4,0,1,61,24,57,8,0
5/22/2016,7,3,0,3,56,22,32,13,0
5/23/2016,2,4,0,0,64,15,30,7,0
5/24/2016,1,4,0,4,58,17,49,14,0
5/25/2016,4,1,0,4,76,22,46,7,1
5/26/2016,10,5,0,3,42,25,34,12,1
5/27/2016,5,4,0,5,67,33,45,12,0
5/28/2016,6,3,0,3,55,24,34,20,0
5/29/2016,7,2,0,5,55,13,38,11,0
5/30/2016,6,2,0,2,65,18,32,9,0
5/31/2016,6,7,0,0,55,20,51,8,0
6/1/2016,4,3,0,3,49,25,60,8,0
