County,Agency,Year,Months Reported,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Region
Ulster,New Paltz Town and Vg PD,2016,12,199,26,0,2,1,23,173,16,156,1,Non-New York City
Ulster,Olive Town PD,2016,12,19,1,0,0,0,1,18,3,14,1,Non-New York City
Ulster,Plattekill Town PD,2016,12,62,15,0,1,1,13,47,12,31,4,Non-New York City
Ulster,Rosendale Town PD,2016,12,25,0,0,0,0,0,25,2,23,0,Non-New York City
Ulster,Saugerties Town PD,2016,12,229,25,2,8,3,12,204,63,135,6,Non-New York City
Ulster,Shandaken Town PD,2016,12,31,0,0,0,0,0,31,5,26,0,Non-New York City
Ulster,Shawangunk Town PD,2016,12,59,5,0,1,0,4,54,9,42,3,Non-New York City
Ulster,SUNY Police - New Paltz,2016,12,28,2,0,2,0,0,26,3,23,0,Non-New York City
Ulster,Ulster County Park PD,2016,12,4,0,0,0,0,0,4,2,2,0,Non-New York City
Ulster,Ulster County Sheriff,2016,12,243,31,1,5,1,24,212,44,150,18,Non-New York City
Ulster,Ulster County State Police,2016,12,491,75,0,41,2,32,416,99,311,6,Non-New York City
Ulster,Ulster Town PD,2016,12,316,6,0,2,0,4,310,23,280,7,Non-New York City
Ulster,Woodstock Town PD,2016,12,64,4,0,0,0,4,60,9,51,0,Non-New York City
Warren,Bolton Town PD,2016,12,11,1,0,0,0,1,10,4,5,1,Non-New York City
Warren,County Total,2016,,1195,111,2,41,9,59,1084,132,943,9,Non-New York City
Warren,Glens Falls City PD,2016,12,253,33,1,5,3,24,220,32,187,1,Non-New York City
Warren,Warren County Sheriff,2016,12,664,44,0,17,5,22,620,77,541,2,Non-New York City
Warren,Warren County State Police,2016,12,267,33,1,19,1,12,234,19,210,5,Non-New York City
Washington,Cambridge Vg PD,2016,12,23,2,0,1,0,1,21,7,14,0,Non-New York City
Washington,County Total,2016,,574,95,0,50,5,40,479,93,374,12,Non-New York City
Washington,Fort Edward Vg PD,2016,12,6,1,0,0,0,1,5,2,3,0,Non-New York City
Washington,Granville Vg PD,2016,12,29,3,0,0,3,0,26,8,18,0,Non-New York City
Washington,Greenwich Vg PD,2016,12,16,2,0,2,0,0,14,1,13,0,Non-New York City
Washington,Hudson Falls Vg PD,2016,12,112,22,0,9,2,11,90,14,74,2,Non-New York City
Washington,Washington County Sheriff,2016,12,202,27,0,20,0,7,175,31,139,5,Non-New York City
Washington,Washington County State Police,2016,12,160,36,0,18,0,18,124,25,94,5,Non-New York City
Washington,Whitehall Vg PD,2016,9,26,2,0,0,0,2,24,5,19,0,Non-New York City
Wayne,Clyde Vg PD,2016,12,25,2,0,0,1,1,23,3,20,0,Non-New York City
Wayne,County Total,2016,,1617,159,3,57,19,80,1458,310,1099,49,Non-New York City
Wayne,Macedon Town and Vg PD,2016,12,113,7,0,1,1,5,106,15,87,4,Non-New York City
Wayne,Newark Vg PD,2016,12,332,30,0,7,3,20,302,37,260,5,Non-New York City
Wayne,Palmyra Vg PD,2016,12,22,0,0,0,0,0,22,5,17,0,Non-New York City
Wayne,Sodus Vg PD,2016,12,31,1,0,1,0,0,30,5,25,0,Non-New York City
Wayne,Wayne County Sheriff,2016,12,490,45,2,8,7,28,445,124,306,15,Non-New York City
Wayne,Wayne County State Police,2016,12,601,74,1,40,7,26,527,120,382,25,Non-New York City
Wayne,Wolcott Vg PD,2016,12,3,0,0,0,0,0,3,1,2,0,Non-New York City
Westchester,Ardsley Vg PD,2016,12,30,1,0,0,1,0,29,2,27,0,Non-New York City
Westchester,Bedford Town PD,2016,12,74,8,0,2,1,5,66,13,49,4,Non-New York City
Westchester,Briarcliff Manor Vg PD,2016,12,23,0,0,0,0,0,23,5,18,0,Non-New York City
Westchester,Bronxville Vg PD,2016,12,41,0,0,0,0,0,41,12,27,2,Non-New York City
Westchester,Buchanan Vg PD,2016,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Westchester,County Total,2016,,12537,2113,23,144,768,1178,10424,1327,8490,607,Non-New York City
Westchester,Croton-Kensico PCT (NYC-DEPP),2016,12,3,0,0,0,0,0,3,0,3,0,Non-New York City
Westchester,Croton-On-Hudson Vg PD,2016,12,31,0,0,0,0,0,31,5,26,0,Non-New York City
Westchester,Dobbs Ferry Vg PD,2016,12,99,7,0,1,3,3,92,20,71,1,Non-New York City
Westchester,Eastchester Town PD,2016,12,178,5,0,0,2,3,173,16,154,3,Non-New York City
