Date,MOTOR VEHICLE THEFT,LARCENY-THEFT,RAPE,DRUG OFFENSE,BURGLARY,AGGRAVATED ASSAULT,MURDER AND NON-NEGLIGENT MANSLAUGHTER,ROBBERY,ARSON
04/26/2016,20,55,2,1,42,9,0,4,0
04/26/2017,12,63,3,5,41,10,1,9,1
04/26/2018,17,54,0,4,17,9,0,4,0
04/27/2016,15,61,1,7,25,6,0,6,0
04/27/2017,12,64,1,5,34,9,0,1,0
04/27/2018,11,68,0,7,28,11,1,2,0
04/28/2016,16,56,3,6,37,5,0,2,0
04/28/2017,20,75,3,0,29,12,0,7,0
04/28/2018,16,62,2,4,21,7,0,3,0
04/29/2016,19,84,0,4,43,5,0,2,0
04/29/2017,18,58,1,6,22,6,0,2,0
04/29/2018,15,61,2,5,22,6,0,4,0
04/30/2016,16,58,2,0,28,4,0,4,0
04/30/2017,20,55,1,3,17,12,0,3,1
04/30/2018,18,66,1,7,24,6,0,5,0
05/01/2016,18,67,7,3,22,8,0,2,0
05/01/2017,22,68,8,4,54,10,0,9,0
05/01/2018,16,91,5,5,27,3,0,8,0
05/02/2016,17,51,1,0,26,4,1,3,0
05/02/2017,14,64,0,4,30,6,1,5,1
05/02/2018,19,61,2,10,26,3,2,3,0
05/03/2016,18,58,1,12,26,6,0,6,0
05/03/2017,11,50,1,4,22,14,0,5,1
05/03/2018,14,52,0,8,13,6,0,3,0
05/04/2016,16,57,3,9,24,4,0,5,1
05/04/2017,17,58,1,4,33,12,1,7,0
05/04/2018,18,61,2,5,28,1,1,3,0
05/05/2016,16,57,1,6,23,3,0,4,1
05/05/2017,12,66,5,2,36,7,0,5,0
05/05/2018,24,64,1,8,21,7,1,4,0
05/06/2016,30,55,1,11,33,4,0,4,0
05/06/2017,15,55,3,13,22,5,0,4,0
05/06/2018,15,56,2,7,17,13,0,2,1
05/07/2016,11,48,3,1,22,8,0,2,0
05/07/2017,15,55,2,3,19,12,0,8,1
05/07/2018,17,54,2,8,22,7,1,2,1
05/08/2016,20,45,3,0,27,5,1,1,0
05/08/2017,12,48,0,4,29,8,0,4,1
05/08/2018,15,71,5,8,23,10,0,3,0
05/09/2016,14,47,2,5,17,6,1,1,1
05/09/2017,12,59,1,2,31,4,0,8,1
05/09/2018,15,56,0,4,33,8,1,7,0
05/10/2016,13,62,2,5,22,5,0,6,0
05/10/2017,15,62,3,7,29,7,1,15,0
05/10/2018,14,68,2,6,17,2,0,4,0
05/11/2016,16,59,2,6,21,6,0,7,0
05/11/2017,16,78,0,7,28,13,1,15,0
05/11/2018,15,63,2,8,23,6,0,3,0
05/12/2016,14,52,0,8,34,2,0,3,2
05/12/2017,22,67,2,8,36,14,0,9,0
05/12/2018,7,79,1,8,22,8,0,1,0
05/13/2016,18,66,1,3,17,7,0,2,1
05/13/2017,22,61,2,5,23,3,0,3,0
05/13/2018,17,60,1,5,14,3,0,5,1
05/14/2016,14,63,0,4,25,7,1,3,0
05/14/2017,14,68,1,4,18,19,0,10,0
05/14/2018,21,67,5,6,29,10,0,3,0
05/15/2016,9,59,3,4,17,6,0,4,0
05/15/2017,13,58,0,5,30,8,0,6,0
05/15/2018,23,63,0,7,27,7,0,5,0
05/16/2016,17,63,4,3,25,8,0,3,0
05/16/2017,9,79,2,5,34,13,0,5,1
05/16/2018,14,60,0,4,23,7,0,1,0
05/17/2016,16,60,1,3,46,0,0,1,0
05/17/2017,10,78,1,2,32,13,0,8,0
05/17/2018,15,64,1,2,21,9,0,1,1
05/18/2016,16,65,1,5,28,3,1,0,0
05/18/2017,11,83,1,11,27,5,0,7,4
05/18/2018,18,65,3,9,32,13,0,1,0
05/19/2016,16,55,0,6,27,5,0,3,0
05/19/2017,16,101,1,6,31,15,0,3,0
05/19/2018,15,66,3,4,12,9,0,3,0
05/20/2016,8,63,1,6,41,5,0,4,1
05/20/2017,10,71,4,4,26,4,0,4,0
05/20/2018,15,63,1,6,20,7,1,2,0
05/21/2016,19,45,3,1,13,5,0,2,0
05/21/2017,17,65,1,3,17,17,1,3,0
05/21/2018,12,61,3,7,27,6,0,5,0
05/22/2016,16,42,2,0,18,2,0,6,0
05/22/2017,15,91,0,9,33,14,0,2,0
05/22/2018,17,65,1,7,29,8,0,2,0
05/23/2016,22,69,3,7,28,5,0,3,0
05/23/2017,17,85,2,7,20,15,0,3,0
05/23/2018,14,60,2,10,20,10,0,1,0
