Dispatch_Date,AGGRAVATED ASSAULT,MISC,MOTOR VEHICLE THEFT,BURGLARY,ARSON,ROBBERY,RAPE,DRUG OFFENSE,MURDER AND NON-NEGLIGENT MANSLAUGHTER
4/26/2007,108,249,152,30,2,22,3,55,2
4/27/2007,118,231,133,31,2,28,1,43,0
4/28/2007,97,286,125,35,3,32,1,52,3
4/29/2007,97,356,156,28,2,24,1,53,1
4/30/2007,147,309,141,40,1,21,4,37,0
5/1/2007,121,295,145,36,2,28,3,64,0
5/2/2007,112,326,136,30,2,23,5,62,0
5/3/2007,124,296,125,26,4,24,3,62,1
5/4/2007,124,264,132,29,3,39,6,47,0
5/5/2007,85,270,112,29,5,36,1,48,0
5/6/2007,115,226,133,33,1,34,4,45,1
5/7/2007,111,264,148,33,3,15,4,44,0
5/8/2007,112,350,124,30,4,21,3,65,1
5/9/2007,141,298,143,28,3,25,5,54,1
5/10/2007,140,307,140,25,4,29,5,55,2
5/11/2007,137,295,148,45,0,35,10,60,3
5/12/2007,117,315,120,28,1,29,0,52,0
5/13/2007,116,208,119,30,4,30,0,46,1
5/14/2007,127,356,155,41,3,35,2,56,2
5/15/2007,113,311,123,39,3,29,3,37,1
5/16/2007,93,227,110,32,0,22,5,62,0
5/17/2007,110,322,134,32,1,30,1,72,1
5/18/2007,106,272,151,39,1,34,4,70,1
5/19/2007,103,280,108,26,3,29,1,42,4
5/20/2007,101,221,109,30,1,14,4,50,3
5/21/2007,108,325,145,33,0,27,5,49,0
5/22/2007,120,342,127,38,2,21,6,66,1
5/23/2007,141,319,127,33,2,26,4,80,0
5/24/2007,120,340,132,33,1,29,1,75,0
5/25/2007,124,264,130,32,3,38,5,55,1
5/26/2007,104,293,125,31,7,28,4,38,0
5/27/2007,95,215,126,24,0,19,1,42,0
5/28/2007,99,218,112,24,1,27,4,31,1
5/29/2007,124,297,143,43,2,30,1,68,0
5/30/2007,115,293,164,34,7,27,3,72,1
5/31/2007,119,309,143,39,2,23,7,59,1
6/1/2007,93,234,133,36,2,25,5,63,3
6/2/2007,111,343,127,23,1,29,1,40,0
6/3/2007,123,257,119,22,1,24,2,55,0
6/4/2007,97,236,163,33,1,30,4,47,1
6/5/2007,132,327,145,30,2,31,5,49,2
6/6/2007,107,288,142,29,0,42,3,66,1
6/7/2007,124,248,132,26,2,39,2,60,2
6/8/2007,113,258,126,26,1,35,4,38,0
6/9/2007,117,287,114,26,0,40,1,35,1
6/10/2007,110,270,107,24,4,16,1,42,3
6/11/2007,100,256,145,32,0,23,0,54,2
6/12/2007,115,298,138,34,1,26,5,58,0
6/13/2007,93,357,132,26,1,33,1,87,2
6/14/2007,114,317,123,28,3,24,2,64,0
6/15/2007,113,252,134,30,1,25,2,54,0
6/16/2007,88,306,116,27,2,16,2,69,1
6/17/2007,109,214,114,17,1,36,1,44,1
6/18/2007,84,251,146,42,2,29,5,56,2
6/19/2007,103,288,146,44,1,26,2,68,1
6/20/2007,85,321,134,32,3,21,3,50,2
6/21/2007,100,311,143,32,1,21,1,63,6
6/22/2007,90,279,142,27,1,29,1,53,1
